gateway_code,gateway_name,alternate_name,source_authority,is_current,source_checked_date
MBACC01,Construction and the Green Economy,,GMCA,true,2026-09-19
MBACC02,Creative Culture and Sport,"Creative, Culture and Sport",GMCA,true,2026-09-19
MBACC03,Digital and Technology,,GMCA,true,2026-09-19
MBACC04,Education and Early Years,,GMCA,true,2026-09-19
MBACC05,Engineering and Manufacturing,Manufacturing and Engineering,GMCA,true,2026-09-19
MBACC06,Financial Business and Professional Services,"Financial, Business and Professional Services; Financial and Professional",GMCA,true,2026-09-19
MBACC07,Health and Social Care,,GMCA,true,2026-09-19
